Code,Link,Date Of Issue,Department,Title,Meant For,PDF Filename,S3 URL,Extraction Timestamp,Update Timestamp,Verification Timestamp
RBI/2016-2017/235 IDMD.CDD.No.2188/14.04.050/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/sovereign-gold-bonds-2016-17-series-iv-operational-guidelines-10867,"Feb 23, 2017",Internal Debt Management Department,"Sovereign Gold Bonds, 2016-17 - Series IV - Operational Guidelines",The Chairman & Managing Director All Scheduled Commercial Banks (Excluding RRBs) Designated Post Offices Stock Holding Corporation of India ltd.(SHCIL) National Stock Exchange of India Ltd. & Bombay Stock Exchange Ltd,Sovereign_Gold_Bonds_2016_17___Series_IV___Operati_20250108062002.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Sovereign_Gold_Bonds_2016_17___Series_IV___Operati_20250108062002.pdf,2025-01-08T06:20:07.302433,,
RBI/2016-2017/234 IDMD.CDD.No.2187/14.04.050/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/sovereign-gold-bonds-2016-17-series-iv-10866,"Feb 23, 2017",Internal Debt Management Department,Sovereign Gold Bonds 2016-17 - Series IV,"The Chairman & Managing Director All Scheduled Commercial Banks, (Excluding RRBs) Designated Post Offices Stock Holding Corporation of India Ltd.( SHCIL) National Stock Exchange of India Ltd. & Bombay Stock Exchange Ltd",Sovereign_Gold_Bonds_2016_17___Series_IV_20250108062007.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Sovereign_Gold_Bonds_2016_17___Series_IV_20250108062007.pdf,2025-01-08T06:20:12.097283,,
RBI/2016-2017/233 A. P. (DIR Series) Circular No.31,https://website.rbi.org.in/web/rbi/-/notifications/issuance-of-rupee-denominated-bonds-overseas-multilateral-and-regional-financial-institutions-as-investors-10865,"Feb 16, 2017",Foreign Exchange Department,Issuance of Rupee denominated bonds overseas - Multilateral and Regional Financial Institutions as Investors,All Authorised Dealer Category - I Banks,Issuance_of_Rupee_denominated_bonds_overseas___Mul_20250108062012.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Issuance_of_Rupee_denominated_bonds_overseas___Mul_20250108062012.pdf,2025-01-08T06:20:16.786022,,
RBI/2016-2017/232 FMRD.DIRD.13/14.01.019/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/forward-rate-agreement-fra-and-interest-rate-swap-irs-withdrawal-of-fortnightly-return-10864,"Feb 16, 2017",Financial Markets Regulation Department,Forward Rate Agreement (FRA) and Interest Rate Swap (IRS) - Withdrawal of Fortnightly return,All Market Participants,Forward_Rate_Agreement_FRA_and_Interest_Rate_Swap__20250108062016.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Forward_Rate_Agreement_FRA_and_Interest_Rate_Swap__20250108062016.pdf,2025-01-08T06:20:21.821753,,
RBI/2016-2017/227 FIDD.CO.LBS.BC.No.21/02.08.001/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/formation-of-twenty-one-new-districts-in-the-state-of-telangana-assignment-of-lead-bank-responsibility-10859,"Feb 16, 2017",Financial Inclusion and Development Department,Formation of twenty one new districts in the State of Telangana - Assignment of Lead Bank Responsibility,The Chairmen & Managing Directors All Lead Banks,Formation_of_twenty_one_new_districts_in_the_State_20250108062021.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Formation_of_twenty_one_new_districts_in_the_State_20250108062021.pdf,2025-01-08T06:20:27.207340,,
RBI/2016-2017/228 DGBA.GAD.No.2128/44.02.001/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/reimbursement-of-merchant-discount-rate-10860,"Feb 16, 2017",Department of Government and Bank Accounts,Reimbursement of Merchant Discount Rate,All Agency Banks,Reimbursement_of_Merchant_Discount_Rate_20250108062027.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Reimbursement_of_Merchant_Discount_Rate_20250108062027.pdf,2025-01-08T06:20:31.719674,,
RBI/2016-2017/229 DBR.RRB.BC.No. 53/31.01.001/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/repayment-of-gold-loan-10861,"Feb 16, 2017",Department of Banking Regulation,Repayment of Gold Loan,All Regional Rural Banks,Repayment_of_Gold_Loan_20250108062031.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Repayment_of_Gold_Loan_20250108062031.pdf,2025-01-08T06:20:36.414715,,
RBI/2016-2017/230 DBR.No.Ret.BC.52/12.07.143A/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/inclusion-of-equitas-small-finance-bank-limited-in-the-second-schedule-to-the-reserve-bank-of-india-act-1934-10862,"Feb 16, 2017",Department of Banking Regulation,"Inclusion of “Equitas Small Finance Bank Limited” in the Second Schedule to the Reserve Bank of India Act, 1934",All Scheduled Commercial Banks,Inclusion_of_Equitas_Small_Finance_Bank_Limited_in_20250108062036.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Inclusion_of_Equitas_Small_Finance_Bank_Limited_in_20250108062036.pdf,2025-01-08T06:20:42.605464,,
RBI/2016-2017/231 DBR.No.Ret.BC.51/12.07.145A/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/inclusion-of-capital-small-finance-bank-limited-in-the-second-schedule-to-the-reserve-bank-of-india-act-1934-10863,"Feb 16, 2017",Department of Banking Regulation,"Inclusion of “Capital Small Finance Bank Limited” in the Second Schedule to the Reserve Bank of India Act, 1934",All Scheduled Commercial Banks,Inclusion_of_Capital_Small_Finance_Bank_Limited_in_20250108062042.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Inclusion_of_Capital_Small_Finance_Bank_Limited_in_20250108062042.pdf,2025-01-08T06:20:47.327071,,
RBI/2016-2017/226 DCM(Plg)No.3217/10.27.00/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/deposit-of-specified-bank-notes-sbns-chest-balance-limit-cash-holding-limit-10858,"Feb 13, 2017",Department of Currency Management,Deposit of Specified Bank Notes (SBNs) - Chest Balance Limit / Cash Holding Limit,The Chairman / Managing Director/ Chief Executive Officer (All banks maintaining currency chests),Deposit_of_Specified_Bank_Notes_SBNs___Chest_Balan_20250108062047.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Deposit_of_Specified_Bank_Notes_SBNs___Chest_Balan_20250108062047.pdf,2025-01-08T06:20:52.019436,,
RBI/2016-2017/225 DGBA.GAD.2012/15.02.005/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/interest-rates-for-small-savings-schemes-10857,"Feb 09, 2017",Department of Government and Bank Accounts,Interest rates for Small Savings Schemes,"The Chairman/Chief Executive Officer Agency Banks handling Public Provident Fund, Kisan Vikas Patra- 2014, Sukanya Samriddhi Account, Senior Citizen Savings Scheme-2004",Interest_rates_for_Small_Savings_Schemes_20250108062056.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Interest_rates_for_Small_Savings_Schemes_20250108062056.pdf,2025-01-08T06:21:00.950621,,
RBI/2016-2017/224 DCM (Plg) 3107/10.27.00/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/removal-of-limits-on-withdrawal-of-cash-from-saving-bank-accounts-10856,"Feb 08, 2017",Department of Currency Management,Removal of limits on withdrawal of cash from Saving Bank Accounts,All Banks,Removal_of_limits_on_withdrawal_of_cash_from_Savin_20250108062100.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Removal_of_limits_on_withdrawal_of_cash_from_Savin_20250108062100.pdf,2025-01-08T06:21:06.092007,,
,https://website.rbi.org.in/web/rbi/-/notifications/amendment-to-pradhan-mantri-garib-kalyan-deposit-scheme-notification-no-s.o.-4061-e-10855,"Feb 07, 2017",Internal Debt Management Department,"Amendment to Pradhan Mantri Garib Kalyan Deposit Scheme,Notification No S.O. 4061 E",,Amendment_to_Pradhan_Mantri_Garib_Kalyan_Deposit_S_20250108062106.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Amendment_to_Pradhan_Mantri_Garib_Kalyan_Deposit_S_20250108062106.pdf,2025-01-08T06:21:10.812445,,
RBI/2016-2017/223 Ref. No. IDMD/2024/08.02.032/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/auction-of-government-of-india-dated-securities-10854,"Feb 06, 2017",Internal Debt Management Department,Auction of Government of India Dated Securities,All Scheduled Commercial Banks All State Co-operative Banks/All Scheduled Primary (Urban) Co-operative Banks /All Financial Institutions/ All Primary Dealers.,Auction_of_Government_of_India_Dated_Securities_20250108062110.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_of_Government_of_India_Dated_Securities_20250108062110.pdf,2025-01-08T06:21:15.800750,,
F.No.4(3)W&M / 2016(ii),https://website.rbi.org.in/web/rbi/-/notifications/auction-for-sale-re-issue-of-7.73-per-cent-government-stock-2034-10851,"Feb 06, 2017",Internal Debt Management Department,Auction for Sale (Re-issue) of 7.73 per cent Government Stock 2034,,Auction_for_Sale_Re_issue_of_773_per_cent_Governme_20250108062115.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_for_Sale_Re_issue_of_773_per_cent_Governme_20250108062115.pdf,2025-01-08T06:21:20.718518,,
F. No.4 (3) W&M / 20 16,https://website.rbi.org.in/web/rbi/-/notifications/auction-for-sale-re-issue-of-6.84-per-cent-government-stock-2022-10853,"Feb 06, 2017",Internal Debt Management Department,Auction for Sale (Re-issue) of 6.84 per cent Government Stock 2022,,Auction_for_Sale_Re_issue_of_684_per_cent_Governme_20250108062120.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_for_Sale_Re_issue_of_684_per_cent_Governme_20250108062120.pdf,2025-01-08T06:21:25.498358,,
F. No.4 (3) W&M / 2016(i),https://website.rbi.org.in/web/rbi/-/notifications/auction-for-sale-re-issue-of-6.97-per-cent-government-stock-2026-10852,"Feb 06, 2017",Internal Debt Management Department,Auction for Sale (Re-issue) of 6.97 per cent Government Stock 2026,,Auction_for_Sale_Re_issue_of_697_per_cent_Governme_20250108062125.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_for_Sale_Re_issue_of_697_per_cent_Governme_20250108062125.pdf,2025-01-08T06:21:31.243452,,
F. No.4 (3)-W & M / 2016(iii),https://website.rbi.org.in/web/rbi/-/notifications/auction-for-sale-re-issue-of-7.06-per-cent-government-stock-2046-10850,"Feb 06, 2017",Internal Debt Management Department,"Auction for Sale (Re-issue) of ‘7.06 per cent Government Stock, 2046’",,Auction_for_Sale_Re_issue_of_706_per_cent_Governme_20250108062131.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_for_Sale_Re_issue_of_706_per_cent_Governme_20250108062131.pdf,2025-01-08T06:21:37.307462,,
RBI/2016-2017/221 A.P. (DIR Series) Circular No. 30,https://website.rbi.org.in/web/rbi/-/notifications/risk-management-and-inter-bank-dealings-permitting-non-resident-indians-nris-access-to-exchange-traded-currency-derivatives-etcd-market-10849,"Feb 02, 2017",Financial Markets Regulation Department,Risk Management and Inter-bank Dealings: Permitting Non Resident Indians (NRIs) access to Exchange Traded Currency Derivatives (ETCD) market,All Category - I Authorised Dealer Banks,Risk_Management_and_Inter_bank_Dealings_Permitting_20250108062137.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Risk_Management_and_Inter_bank_Dealings_Permitting_20250108062137.pdf,2025-01-08T06:21:42.228599,,
RBI/2016-2017/222 DBR.BP.BC.No.50/21.06.201/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/basel-iii-capital-regulations-additional-tier-1-capital-10848,"Feb 02, 2017",Department of Banking Regulation,Basel III Capital Regulations- Additional Tier 1 Capital,All Scheduled Commercial Banks (Excluding Regional Rural Banks),Basel_III_Capital_Regulations__Additional_Tier_1_C_20250108062142.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Basel_III_Capital_Regulations__Additional_Tier_1_C_20250108062142.pdf,2025-01-08T06:21:46.716008,,
RBI/2016-2017/220 A.P. (DIR Series) Circular No. 29,https://website.rbi.org.in/web/rbi/-/notifications/foreign-exchange-management-act-1999-fema-foreign-exchange-compounding-proceedings-rules-2000-the-rules-compounding-of-contraventions-under-fema-1999-10847,"Feb 02, 2017",Foreign Exchange Department,"Foreign Exchange Management Act, 1999 (FEMA) Foreign Exchange (Compounding Proceedings) Rules, 2000 (the Rules) - Compounding of Contraventions under FEMA, 1999",All Category- I Authorised Dealer Banks,Foreign_Exchange_Management_Act_1999_FEMA_Foreign__20250108062150.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Foreign_Exchange_Management_Act_1999_FEMA_Foreign__20250108062150.pdf,2025-01-08T06:21:55.286777,,
RBI/2016-2017/219 DNBR.CC.PD.No. 084/22.10.038/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/review-of-guidelines-on-pricing-of-credit-10846,"Feb 02, 2017",Department of Non Banking Regulation,Review of Guidelines on “Pricing of Credit”,All NBFC-MFIs,Review_of_Guidelines_on_Pricing_of_Credit_20250108062155.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Review_of_Guidelines_on_Pricing_of_Credit_20250108062155.pdf,2025-01-08T06:21:59.917064,,
RBI/2016-2017/218 Ref. No. IDMD/1977/08.02.032/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/auction-of-government-of-india-dated-securities-10845,"Jan 30, 2017",Internal Debt Management Department,Auction of Government of India Dated Securities,All Scheduled Commercial Banks All State Co-operative Banks/All Scheduled Primary (Urban) Co-operative Banks /All Financial Institutions/ All Primary Dealers.,Auction_of_Government_of_India_Dated_Securities_20250108062159.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_of_Government_of_India_Dated_Securities_20250108062159.pdf,2025-01-08T06:22:07.479305,,
F. No. 4 (3) W & M / 2016 :,https://website.rbi.org.in/web/rbi/-/notifications/auction-for-sale-re-issue-of-government-of-india-floating-rate-bonds-2024-10844,"Jan 30, 2017",Internal Debt Management Department,Auction for Sale (Re-issue) of Government of India Floating Rate Bonds 2024,,Auction_for_Sale_Re_issue_of_Government_of_India_F_20250108062207.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_for_Sale_Re_issue_of_Government_of_India_F_20250108062207.pdf,2025-01-08T06:22:12.685823,,
F. No. 4 (3) W&M/2016(i):,https://website.rbi.org.in/web/rbi/-/notifications/auction-for-sale-re-issue-of-6.79-per-cent-government-stock-2029-10843,"Jan 30, 2017",Internal Debt Management Department,Auction for Sale (Re-issue) of 6.79 per cent Government Stock 2029,,Auction_for_Sale_Re_issue_of_679_per_cent_Governme_20250108062212.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_for_Sale_Re_issue_of_679_per_cent_Governme_20250108062212.pdf,2025-01-08T06:22:17.612109,,
F. No.4 (3) W&M/2016(ii):,https://website.rbi.org.in/web/rbi/-/notifications/auction-for-sale-re-issue-of-6.57-per-cent-government-stock-2033-10842,"Jan 30, 2017",Internal Debt Management Department,Auction for Sale (Re-issue) of 6.57 per cent Government Stock 2033,,Auction_for_Sale_Re_issue_of_657_per_cent_Governme_20250108062217.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_for_Sale_Re_issue_of_657_per_cent_Governme_20250108062217.pdf,2025-01-08T06:22:22.477327,,
F. No. 4 (2) W & M/2016(iii):,https://website.rbi.org.in/web/rbi/-/notifications/auction-for-sale-re-issue-of-6.62-per-cent-government-stock-2051-10841,"Jan 30, 2017",Internal Debt Management Department,Auction for Sale (Re-issue) of 6.62 per cent Government Stock 2051,,Auction_for_Sale_Re_issue_of_662_per_cent_Governme_20250108062222.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_for_Sale_Re_issue_of_662_per_cent_Governme_20250108062222.pdf,2025-01-08T06:22:27.071823,,
RBI/2016-2017/217 DCM (Plg) No.2905/10.27.00/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/limits-on-cash-withdrawals-from-bank-accounts-and-atms-restoration-of-status-quo-ante-10840,"Jan 30, 2017",Department of Currency Management,Limits on Cash withdrawals from Bank accounts and ATMs - Restoration of status quo ante,"The Chairman / Managing Director / Chief Executive Officer, Public Sector Banks / Private Sector Banks / Foreign Banks, Regional Rural Banks / Urban Co-operative Banks, State Co-operative Banks / District Central Co-operative Banks",Limits_on_Cash_withdrawals_from_Bank_accounts_and__20250108062227.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Limits_on_Cash_withdrawals_from_Bank_accounts_and__20250108062227.pdf,2025-01-08T06:22:32.283688,,
RBI/2016-2017/216 A.P. (DIR Series) Circular No. 28,https://website.rbi.org.in/web/rbi/-/notifications/prohibition-on-indian-party-from-making-direct-investment-in-countries-identified-by-the-financial-action-task-force-fatf-as-non-co-operative-countries-and-territories-10839,"Jan 25, 2017",Foreign Exchange Department,Prohibition on Indian Party from making direct investment in countries identified by the Financial Action Task Force (FATF) as “Non Co-operative countries and territories”,All Category- I Authorised Dealer Banks,Prohibition_on_Indian_Party_from_making_direct_inv_20250108062232.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Prohibition_on_Indian_Party_from_making_direct_inv_20250108062232.pdf,2025-01-08T06:22:37.144493,,
